Timestamp,xAxis,yAxis,zAxis
1715609501.0578349,339,393,320
1715609501.0618403,339,394,321
1715609501.0618403,339,393,320
1715609501.0628417,339,393,320
1715609501.0628417,339,394,320
1715609501.066351,339,394,320
1715609501.066351,339,393,320
1715609501.066351,339,394,320
1715609501.066351,339,394,321
1715609501.0703645,339,393,321
1715609501.0703645,340,394,320
1715609501.0713665,339,393,320
1715609501.0738695,340,393,321
1715609501.0738695,340,394,321
1715609501.0748758,339,394,321
1715609501.0748758,340,394,321
1715609501.0783873,339,394,320
1715609501.0783873,339,394,321
1715609501.079388,339,394,320
1715609501.079388,341,395,321
1715609501.0823965,340,394,320
1715609501.0823965,339,394,320
1715609501.0823965,340,394,320
1715609501.0834005,340,394,320
1715609501.086903,339,394,320
1715609501.086903,339,394,320
1715609501.0879114,339,393,320
1715609501.0909173,339,393,320
1715609501.0909173,339,394,320
1715609501.0909173,339,394,320
1715609501.0909173,340,394,320
1715609501.0949516,339,393,320
1715609501.0949516,340,393,320
1715609501.0949516,339,394,320
1715609501.0949516,340,394,320
1715609501.0990798,340,394,321
1715609501.0990798,340,394,320
1715609501.0990798,340,394,320
1715609501.1030583,340,394,320
1715609501.1030583,340,394,320
1715609501.1030583,340,394,321
1715609501.1030583,339,393,320
1715609501.1066163,339,394,321
1715609501.1076279,339,393,320
1715609501.1076279,339,393,321
1715609501.1076279,340,394,321
1715609501.111628,340,393,319
1715609501.111628,341,393,320
1715609501.111628,337,394,323
1715609501.111628,338,395,320
1715609501.1146536,342,394,321
1715609501.1146536,341,391,318
1715609501.1161635,341,392,317
1715609501.1196299,339,395,322
1715609501.1196299,334,396,324
1715609501.1196299,339,395,322
1715609501.1196299,343,392,318
1715609501.1238668,344,391,315
1715609501.1238668,341,392,319
1715609501.1238668,338,396,323
1715609501.1238668,335,397,326
1715609501.1275408,338,394,324
1715609501.1275408,343,391,318
1715609501.1275408,345,390,314
1715609501.131568,342,393,318
1715609501.131568,336,396,323
1715609501.131568,333,397,329
1715609501.1325421,335,394,325
1715609501.1362994,341,391,320
1715609501.1362994,348,391,314
1715609501.1362994,346,391,312
1715609501.1362994,340,396,325
1715609501.1402757,330,397,330
1715609501.1402757,330,397,332
1715609501.1402757,337,393,323
1715609501.1444228,347,390,310
1715609501.1444228,351,390,307
1715609501.1444228,344,394,320
1715609501.1444228,332,397,328
1715609501.1483798,329,397,332
1715609501.1483798,335,394,324
1715609501.1483798,347,390,312
1715609501.1483798,350,389,309
1715609501.1526062,344,393,319
1715609501.1526062,332,396,328
1715609501.1526062,329,398,333
1715609501.1526062,335,394,324
1715609501.156265,346,390,312
1715609501.156265,351,389,308
1715609501.156265,345,393,319
1715609501.160799,333,396,329
1715609501.160799,329,398,333
1715609501.160799,335,394,325
1715609501.160799,345,391,312
1715609501.1648993,351,390,308
1715609501.1648993,345,394,318
1715609501.1648993,333,397,330
1715609501.1648993,328,397,333
1715609501.1692939,334,394,325
1715609501.1692939,346,391,311
1715609501.1692939,352,390,308
1715609501.1724923,345,393,317
1715609501.1724923,334,396,328
1715609501.1724923,328,398,333
1715609501.1724923,334,395,326
1715609501.1773593,345,391,312
1715609501.1783497,352,390,308
1715609501.1783497,346,393,317
1715609501.1783497,334,396,329
1715609501.1812947,328,397,333
1715609501.1812947,333,395,326
1715609501.1812947,345,391,312
1715609501.1853526,352,391,309
1715609501.1853526,346,393,316
1715609501.1853526,335,396,328
1715609501.1853526,328,397,333
1715609501.1894817,333,395,326
1715609501.1894817,345,391,312
1715609501.1894817,352,389,309
1715609501.1894817,346,392,316
1715609501.1934988,335,396,329
1715609501.1934988,328,397,333
1715609501.1934988,333,395,327
1715609501.1944993,344,391,313
1715609501.1969955,352,390,308
1715609501.1980057,346,392,316
1715609501.1990204,335,396,328
1715609501.2010136,327,398,333
1715609501.2010136,333,395,327
1715609501.202013,344,391,313
1715609501.202013,352,389,309
1715609501.2055585,346,392,315
1715609501.2055585,335,396,328
1715609501.2055585,328,398,333
1715609501.2055585,332,395,327
1715609501.209563,344,391,313
1715609501.209563,352,390,309
1715609501.209563,346,392,315
1715609501.2136009,336,397,328
1715609501.2136009,327,397,333
1715609501.2136009,332,394,327
1715609501.2145762,343,391,314
1715609501.2172184,352,390,309
1715609501.218176,346,392,315
1715609501.218176,336,396,328
1715609501.218176,327,397,332
1715609501.2223175,332,395,327
1715609501.2223175,343,392,314
1715609501.2223175,352,390,310
1715609501.2233028,346,392,314
1715609501.2263014,335,396,328
1715609501.2263014,327,398,333
1715609501.2268052,331,395,328
1715609501.229817,343,391,314
1715609501.229817,351,390,309
1715609501.229817,346,392,314
1715609501.2308147,337,397,328
1715609501.2338147,328,397,332
1715609501.2338147,331,395,328
1715609501.2348151,343,391,314
1715609501.2348151,352,390,309
1715609501.2383256,347,392,313
1715609501.2383256,337,396,328
1715609501.2383256,328,397,333
1715609501.2422383,331,396,329
1715609501.2422383,342,392,315
1715609501.2422383,352,390,309
1715609501.2422383,347,392,313
1715609501.2467043,337,396,328
1715609501.2467043,328,397,333
1715609501.2467043,331,395,329
1715609501.2467043,342,392,315
1715609501.2502136,351,390,310
1715609501.251219,347,392,312
1715609501.251219,338,396,327
1715609501.2543435,328,397,333
1715609501.2543435,331,395,329
1715609501.2543435,342,392,316
1715609501.2553737,352,390,310
1715609501.2588575,347,391,312
1715609501.2588575,337,396,327
1715609501.2588575,328,397,332
1715609501.2588575,331,396,330
1715609501.2628577,341,392,316
1715609501.2628577,351,391,310
1715609501.2628577,347,392,312
1715609501.2628577,338,396,326
1715609501.2673688,328,397,330
1715609501.2673688,330,395,329
1715609501.2673688,341,392,317
1715609501.2713866,352,390,310
1715609501.2713866,348,391,312
1715609501.2713866,338,396,326
1715609501.2713866,328,397,332
1715609501.275229,331,395,330
1715609501.275229,341,392,317
1715609501.275229,351,390,310
1715609501.275229,348,391,311
1715609501.2787383,338,395,326
1715609501.279744,328,397,332
1715609501.279744,330,396,330
1715609501.2837381,340,392,318
1715609501.2837381,351,391,311
1715609501.2837381,348,391,311
1715609501.2837381,339,395,326
1715609501.2873151,329,397,332
1715609501.2873151,330,396,330
1715609501.2873151,340,392,318
1715609501.2882988,351,390,310
1715609501.2915468,349,391,310
1715609501.2915468,339,395,326
1715609501.2923334,329,397,331
1715609501.2955432,330,396,330
1715609501.2963798,340,392,318
1715609501.2963798,351,390,310
1715609501.2963798,349,392,310
1715609501.300141,339,395,325
1715609501.300141,329,397,331
1715609501.300141,330,396,331
1715609501.300141,339,393,318
1715609501.3042324,351,390,310
1715609501.3042324,349,391,310
1715609501.3042324,340,395,325
1715609501.3042324,329,397,331
1715609501.3084047,330,396,332
1715609501.3084047,339,392,319
1715609501.3084047,351,390,310
1715609501.312415,349,391,310
1715609501.312415,341,395,324
1715609501.312415,329,396,331
1715609501.312415,329,396,332
1715609501.3164692,339,393,319
1715609501.3164692,350,390,310
1715609501.3174143,349,390,309
1715609501.3184261,340,395,324
1715609501.3206573,329,396,331
1715609501.3206573,329,396,332
1715609501.3206573,338,393,319
1715609501.324718,350,391,310
1715609501.324718,350,391,309
1715609501.324718,341,395,323
1715609501.324718,330,397,331
1715609501.3288002,329,396,331
1715609501.3288002,338,393,319
1715609501.3288002,350,391,311
1715609501.3288002,350,390,309
1715609501.3338149,341,395,323
1715609501.3338149,329,396,331
1715609501.3338149,329,396,332
1715609501.3338149,338,393,321
1715609501.3368802,350,390,311
1715609501.3368802,350,391,310
1715609501.3368802,342,395,323
1715609501.3410637,330,397,331
1715609501.3410637,329,396,332
1715609501.3410637,337,394,320
1715609501.3410637,349,390,310
1715609501.34506,350,390,309
1715609501.34506,342,395,322
1715609501.34506,330,397,330
1715609501.34506,329,396,332
1715609501.350095,337,393,320
1715609501.350095,350,391,311
1715609501.350095,350,390,308
1715609501.353066,342,395,322
1715609501.353066,330,396,330
1715609501.353066,329,397,332
1715609501.354063,337,394,321
1715609501.35657,349,390,311
1715609501.357578,350,390,310
1715609501.357578,342,394,322
1715609501.357578,330,396,330
1715609501.3609352,329,397,333
1715609501.3609352,336,393,321
1715609501.3609352,349,391,311
1715609501.3649347,350,391,308
1715609501.3649347,342,394,321
1715609501.3649347,331,396,330
1715609501.3649347,328,397,332
1715609501.36945,336,393,321
1715609501.36945,348,390,310
1715609501.36945,350,390,309
1715609501.36945,343,394,321
1715609501.3724496,331,397,330
1715609501.3739548,328,397,333
1715609501.3739548,336,394,322
1715609501.3739548,348,391,311
